Position,Track Name,Artist,Streams,URL,Day Start Date
144,Love Scars,Trippie Redd,224595,https://open.spotify.com/track/0AICBlLzFCTpUqmAbtzB2z,2018-01-23
145,T-Shirt,Migos,223432,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7,2018-01-23
146,Supplies,Justin Timberlake,222799,https://open.spotify.com/track/4Z6YruMINNspGet1gQyYlK,2018-01-23
147,Portland,Drake,221771,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h,2018-01-23
148,Issues,Julia Michaels,221219,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0,2018-01-23
149,Plain Jane REMIX,A$AP Ferg,220907,https://open.spotify.com/track/2YzmfPLqUx5CJOaw5ThsBV,2018-01-23
150,In Case You Didn't Know,Brett Young,220709,https://open.spotify.com/track/10M2Ex445zw585Ducldzkw,2018-01-23
151,Heaven,Kane Brown,220522,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7,2018-01-23
152,wokeuplikethis*,Playboi Carti,219613,https://open.spotify.com/track/59J5nzL1KniFHnU120dQzt,2018-01-23
153,Pills & Automobiles,Chris Brown,219262,https://open.spotify.com/track/5gx2E5aIXMRBellPZW1up5,2018-01-23
154,Yours,Russell Dickerson,219260,https://open.spotify.com/track/6RSNKGdv3nDTHqgw4bdzyF,2018-01-23
155,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,217592,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM,2018-01-23
156,PRBLMS,6LACK,216593,https://open.spotify.com/track/4AtZRwSR8BOTTQg5ihSggt,2018-01-23
157,Mi Gente,J Balvin,216468,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-23
158,Look What You Made Me Do,Taylor Swift,216436,https://open.spotify.com/track/5troof8mcGO3AafoDbk1gc,2018-01-23
159,'Till I Collapse,Eminem,214601,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT,2018-01-23
160,Don't,Bryson Tiller,214115,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,2018-01-23
161,KOODA,6ix9ine,213177,https://open.spotify.com/track/5NT0aZqWImC9fTzkW4z48o,2018-01-23
162,The Last Of The Real Ones,Fall Out Boy,212167,https://open.spotify.com/track/6HWGLValLZlHVPjbwEW4Kq,2018-01-23
163,Closer,The Chainsmokers,211067,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2018-01-23
164,Tightrope,Michelle Williams,210964,https://open.spotify.com/track/0GVuLQtPXFaL18ijEOqoAa,2018-01-23
165,One Dance,Drake,210584,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2018-01-23
166,Heartache On The Dance Floor,Jon Pardi,210227,https://open.spotify.com/track/0w3Q14i073jLoew1hgJkwD,2018-01-23
167,Die For You,The Weeknd,209151,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,2018-01-23
168,Lust,Lil Skies,208945,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S,2018-01-23
169,Exchange,Bryson Tiller,208454,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN,2018-01-23
170,La Modelo,Lean Trap,207517,https://open.spotify.com/track/76DNqvSyzL9VCkhlnByqLf,2018-01-23
171,HOLD ME TIGHT OR DON’T,Fall Out Boy,207404,https://open.spotify.com/track/00TVmX9spquyg0UKuN57l3,2018-01-23
172,All On Me,Devin Dawson,206961,https://open.spotify.com/track/2mfahQ0EaaZWq4cFNg6A1o,2018-01-23
173,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,206926,https://open.spotify.com/track/7HdZY9UJTylIiNcSDFyUDc,2018-01-23
174,She Loves Control,Camila Cabello,205344,https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy,2018-01-23
175,Something Just Like This,The Chainsmokers,204299,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2018-01-23
176,20 Min,Lil Uzi Vert,203726,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng,2018-01-23
177,Icon,Jaden Smith,203004,https://open.spotify.com/track/22nyEAEM29tcBRhukR089b,2018-01-23
178,Wilson (Expensive Mistakes),Fall Out Boy,202389,https://open.spotify.com/track/5dY6NfWkgfKCH2E9mt4wcg,2018-01-23
179,...Ready For It?,Taylor Swift,202171,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5,2018-01-23
180,Slow Hands,Niall Horan,200817,https://open.spotify.com/track/38yBBH2jacvDxrznF7h08J,2018-01-23
181,Saved,Khalid,199937,https://open.spotify.com/track/248OFOZef6ShXv6DGgbnxU,2018-01-23
182,Poles 1469,Trippie Redd,198902,https://open.spotify.com/track/4fC5jw1TI59GH1emfN1wtk,2018-01-23
183,Lemon - Edit,N.E.R.D,197662,https://open.spotify.com/track/2LKlHBPHxLG5ArAXfF148n,2018-01-23
184,Myself,NAV,197300,https://open.spotify.com/track/05nbZ1xxVNwUTcGwLbp7CN,2018-01-23
185,Starboy,The Weeknd,196814,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2018-01-23
186,Caroline,Aminé,196501,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx,2018-01-23
187,Praying,Kesha,196474,https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA,2018-01-23
188,Look At Me!,XXXTENTACION,196254,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s,2018-01-23
189,Stay,Zedd,195555,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo,2018-01-23
190,Anywhere,Rita Ora,195544,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2,2018-01-23
191,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,195542,https://open.spotify.com/track/6GNifiuBPrKFpwNBYnooFm,2018-01-23
192,Lemon,N.E.R.D,194982,https://open.spotify.com/track/4PpuH4mxL0rD35mOWaLoKS,2018-01-23
193,No Option,Post Malone,194745,https://open.spotify.com/track/6M0IsaUX4GNyto4niSegfI,2018-01-23
194,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,193022,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,2018-01-23
195,Se Preparó,Ozuna,192471,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-23
196,X (feat. Future),21 Savage,192331,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,2018-01-23
197,EL BAÑO,Enrique Iglesias,192125,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU,2018-01-23
198,Money Longer,Lil Uzi Vert,190777,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ,2018-01-23
199,There's Nothing Holdin' Me Back,Shawn Mendes,190223,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2018-01-23
200,Best Part,H.E.R.,189994,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2018-01-23
1,God's Plan,Drake,4708015,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,2018-01-24
2,Diplomatic Immunity,Drake,1216409,https://open.spotify.com/track/3tvkzvUTF0yoq3pdBi81I0,2018-01-24
3,rockstar,Post Malone,1198377,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-01-24
4,Finesse (Remix) [feat. Cardi B],Bruno Mars,960768,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,2018-01-24
5,I Fall Apart,Post Malone,941006,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2018-01-24
6,No Limit,G-Eazy,915402,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW,2018-01-24
7,Ric Flair Drip (& Metro Boomin),Offset,908417,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,2018-01-24
8,Havana,Camila Cabello,888274,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2018-01-24
9,All The Stars (with SZA),Kendrick Lamar,882899,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y,2018-01-24
10,Bartier Cardi (feat. 21 Savage),Cardi B,836077,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT,2018-01-24
11,Never Be the Same,Camila Cabello,827379,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ,2018-01-24
12,Codeine Dreaming (feat. Lil Wayne),Kodak Black,794241,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J,2018-01-24
13,Him & I (with Halsey),G-Eazy,793143,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,2018-01-24
14,PICK IT UP (feat. A$AP Rocky),Famous Dex,788236,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd,2018-01-24
15,Let You Down,NF,775290,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-24
16,Stir Fry,Migos,741795,https://open.spotify.com/track/4fndbjoz1qJyK6JcLdKfzm,2018-01-24
17,LOVE. FEAT. ZACARI.,Kendrick Lamar,736629,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,2018-01-24
18,Rewrite The Stars,Zac Efron,712459,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2018-01-24
19,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,706525,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,2018-01-24
20,Sky Walker (feat. Travis Scott),Miguel,693469,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf,2018-01-24
